#fields:Hanzi	Pinyin	English	Notes	Tags
漫画	mànhuà	comics; cartoon; manga	漫 màn (free; unrestrained) + 画 huà (drawing). A free, sketchy drawing: the word for comics and cartoons. The same two characters name Japanese manga, where they are read manga.	arts calligraphy culture characters
忙	máng	busy		emotion feeling characters
盲	máng	blind		body perception radical
盲目	mángmù	blindly; without judgment; reckless	盲 (blind) + 目 (eye). An intensified compound where both characters carry the same meaning: acting as though blind, without seeing the situation clearly. 盲目乐观 mángmù lèguān means "blindly optimistic"; 盲目跟风 means to follow trends without thinking.	body perception radical
猫	māo	cat		nature daily-life characters
毛	máo	body hair; fur		meaning change body characters
毛笔	máobǐ	writing brush; ink brush	毛 máo (hair; fur) + 笔 bǐ. The classic soft-tipped brush of calligraphy and ink painting, named for the animal hair of its tuft. The tool that gives Chinese writing its living, varying line.	calligraphy writing brush arts culture characters history
毛病	máo bìng	defect, flaw, bad habit; malfunction	毛 (máo) means fine hair or fur, here the trivial detail; 毛病 is a small fault that keeps recurring. It stretches across a machine that breaks down, a person's annoying habit, and a minor recurring ailment, all the everyday senses of "something is wrong with it."	health body tcm characters
毛茶	máochá	rough tea / mao cha — the uncompressed base material		tea dark-tea puerh culinary history yunnan
毛肚	máodǔ	tripe; honeycomb tripe		food culture social history daily-life
毛泽东	Máo Zédōng	Mao Zedong — predecessor, contrast		history politics economy modern cultural-revolution mao 1966
矛盾论	máodùn lùn	On Contradiction	On Contradiction: Mao Zedong's 1937 philosophical essay applying materialist dialectics to political analysis. One of the two foundational texts of Mao Zedong Thought (alongside 实践论 Shíjiàn Lùn, "On Practice").	idioms logic classical
茅台	máotái	Moutai	Moutai: the prestige baijiu produced in Maotai Town, Guizhou province. Made from sorghum using the sauce-aroma (酱香 jiàngxiāng) method, it is the most famous Chinese spirit and functions as a currency of respect in formal Chinese business culture.	social culture etiquette daily-life food ritual
茅屋	máowū	thatched hut; humble dwelling	茅 máo (thatch grass) + 屋 wū (dwelling). A simple hut roofed with grass. The 茅屋 is a literary image of humble, virtuous poverty , the dwelling of the reclusive scholar or hermit.	space dwelling architecture
冒出	màochū	to pop up; to suddenly emerge		motion direction daily-life
贸易	màoyì	trade, commerce		history geography silk trade
没	méi	not; have not		negation logic meaning characters aspect particle grammar
没吃	méi chī	didn't eat; have not eaten	没(有) is the standard negator for completed actions. It replaces 了 entirely , you never say 没吃了, because 没 already carries the information that no completion occurred. The 了 is superfluous and wrong. This is a near-universal rule: 没 and post-verb 了 are mutually exclusive.	aspect particle tense
没错	méicuò	that's right; exactly; no mistake	没 méi (not have) + 错 cuò (error). "No error here," used to agree firmly: 没错，我就是这个意思 "exactly, that's just what I mean." Often softened to 没错儿 in northern speech.	meaning daily-life communication characters daily spoken language etiquette focus cleft past
没道理	méi dàolǐ	unreasonable; makes no sense; unjust	没 méi (lack; without) + 道理 dàolǐ (reason; logic). "Without reason": lacking the logic or justice to be acceptable. Used when something is not just inconvenient but genuinely wrong in its reasoning or fairness.	daoism philosophy path
没关系	méi guānxi	it doesn't matter; never mind; that's okay	One of the most indispensable phrases in Mandarin. The standard response to 对不起 (sorry). Literally "no relationship" , meaning "it has no effect on us; it carries no weight." Learn this before your first week of speaking Chinese.	negation past-tense grammar particles social connections culture
没礼貌	méi lǐmào	rude; ill-mannered; lacking in manners	没 méi (lacks; does not have) + 礼貌. The standard rebuke. Heavier than English "rude" because it implies a failure of formation, not just a momentary lapse.	courtesy etiquette social daily-life
没面子	méi miànzi	to lose face; to be embarrassed; without prestige	To be without face , whether because one has lost it through embarrassing behavior or because one's status is insufficient to command it. 没面子 is the social embarrassment register, distinct from the moral shame of 丢脸.	social honor culture
没什么	méi shénme	nothing / it's nothing / no big deal	没 + 什么 (what; anything). 没什么 = "nothing; it's nothing." As a response to thanks or apologies: 没什么！= "No worries! / It's nothing!" Also as a statement: 冰箱里没什么吃的 "There's nothing much to eat in the fridge."	negation past-tense grammar particles
没事	méishì	it's nothing; no problem; never mind; to be free (not busy)	没 méi (not have) + 事 shì. "No matter." The everyday reassurance: it's fine, don't worry, no harm done. Also literally "to have nothing on," to be free.	society daily-life meaning characters
没问题	méi wèntí	no problem; sure; that's fine	One of the most useful everyday phrases, used to agree to a request, reassure, or confirm that something will be fine. Equivalent to "no problem / sure / consider it done." A warm, willing reply.	vocabulary communication daily-life evaluation
没意思	méi yìsi	boring; pointless; not interesting	The negation of 有意思 , lacking appeal, engagement, or point. Can describe activities, conversations, people, or situations. Often used for mild complaint rather than outright criticism. 说没意思的话 (to say pointless things) is a common mild rebuke.	meaning gift register
眉	méi	eyebrow		body perception radical
梅兰芳	Méi Lánfāng	greatest Peking Opera performer		culture arts history
梅雨	méiyǔ	plum rains		nature radical cosmology
湄洲祖庙	Méizhōu Zǔmiào	the ancestral temple — source of all Mazu worship	The Meizhou Ancestral Temple (湄洲祖庙) on Meizhou Island, Putian, Fujian, is the origin point of all Mazu temples worldwide. The first small temple was reportedly built at her grave site not long after her death in 987 CE. It has been expanded, burned, rebuilt, and expanded again across ten centuries.	mazu goddess coast
每	měi	every (+ classifier + noun)		measure-words classifiers nouns
每天 · 天天	měitiān · tiāntiān	every day · day after day (emphatic)	每天 měitiān: 每 měi (every; each) + 天 tiān (day). The neutral distributive "every day." 每 attaches to any time unit: 每年 (every year), 每月 (every month), 每周 (every week).	cosmology heaven mandate
美德	měidé	a virtue; an admirable quality	美 měi (beautiful; admirable) + 德. A beautiful virtue , a particular admirable quality, usable as a count noun. 谦虚是一种美德 "humility is a virtue." 中华民族的传统美德 "the traditional virtues of the Chinese nation" is one of the standard formulas in civic discourse.	confucianism daoism ethics virtue philosophy
美感	měigǎn	aesthetic sense; sense of beauty	美 měi + 感 gǎn (feeling; sense). The capacity to perceive and appreciate beauty. Used in art criticism, design, and discussions of taste. 有美感 "has a good aesthetic sense" · 缺乏美感 "lacks aesthetic awareness."	aesthetics culture philosophy
美国	Měiguó	USA (lit. "beautiful country")	美 měi (beautiful) + 国 guó. From the phonetic transcription of "America" (亚美利加 Yà-Měi-lì-jiā), with 美 selected as both sound-match and flattering character. A lucky phonetic fit.	politics society culture
美好	měihǎo	beautiful; wonderful		virtue social daily-life
美化	měihuà	to beautify; to prettify; to whitewash	美 měi (beautiful) + 化 huà (the -ize suffix). Literally "to make beautiful." 美化 covers both the literal beautifying of a place (planting flowers, cleaning streets) and the figurative dressing-up of something unattractive, that is, putting a flattering gloss on a person, a record, or a history.	change culture science characters
美丽	měilì	beautiful (poetic, elevated)	美 měi + 丽 lì (splendid; brilliant , originally: a deer with fine antlers). Used for landscapes, natural scenes, and elevated emotional beauty. More literary than 漂亮. 美丽的风景 "beautiful scenery" · 美丽的心灵 "a beautiful soul."	aesthetics culture philosophy
